시도,시군구명,위도,경도
충남,태안군,36.70746402,126.2793347
전북,전주시완산구,35.79257655,127.1196615
전북,전주시덕진구,35.85848759,127.1128405
전북,군산시,35.95324426,126.7198508
전북,익산시,36.02324304,126.9893882
전북,정읍시,35.60298294,126.905008
전북,남원시,35.42240204,127.4414354
전북,김제시,35.80370367,126.9072038
전북,완주군,35.9188166,127.2152533
전북,진안군,35.82880248,127.4301349
전북,무주군,35.93928769,127.7129812
전북,장수군,35.65713432,127.5441512
전북,임실군,35.59774687,127.2361312
전북,순창군,35.43362591,127.089836
전북,고창군,35.44885989,126.615775
전북,부안군,35.67619319,126.6390748
전남,목포시,34.80313357,126.3906972
전남,여수시,34.69642897,127.6513059
전남,순천시,34.99455511,127.3898354
전남,나주시,34.98821221,126.7197181
전남,광양시,35.0201959,127.6562771
전남,담양군,35.29152717,126.9953868
전남,곡성군,35.21667727,127.2636915
전남,구례군,35.23696577,127.5032311
전남,고흥군,34.59828504,127.3159056
전남,보성군,34.81460965,127.1624993
전남,화순군,35.00831148,127.0334847
전남,장흥군,34.67542537,126.9222114
전남,강진군,34.62019127,126.7722301
전남,해남군,34.55357765,126.5149364
전남,영암군,34.80222405,126.6324534
전남,무안군,34.95450361,126.4244302
전남,함평군,35.11263143,126.5355176
전남,영광군,35.2788075,126.450894
전남,장성군,35.32946307,126.7687566
전남,완도군,34.2981488,126.7763769
전남,진도군,34.43749837,126.211355
전남,신안군,34.81036109,126.0428018
경북,포항시남구,35.95854072,129.4379265
경북,포항시북구,36.16534821,129.234348
경북,경주시,35.82666837,129.2357156
경북,김천시,36.06050061,128.0780831
경북,안동시,36.58028445,128.7799886
경북,구미시,36.2077183,128.3554885
경북,영주시,36.87047623,128.5978018
경북,영천시,36.0157365,128.9425071
경북,상주시,36.42951303,128.0668811
경북,문경시,36.69059557,128.1488031
경북,경산시,35.83372484,128.8092432
경북,군위군,36.17021645,128.6485011
경북,의성군,36.36198116,128.6151852
경북,청송군,36.35721488,129.0573734
경북,영양군,36.69724091,129.1451551
경북,영덕군,36.48273065,129.3176029
경북,청도군,35.67258077,128.7856487
경북,고령군,35.7363119,128.3057994
경북,성주군,35.9070127,128.234202
경북,칠곡군,36.01563387,128.4629858
경북,예천군,36.654224,128.422578
경북,봉화군,36.9344856,128.9129749
경북,울진군,36.90412543,129.3127677
경북,울릉군,37.50188419,130.8642776
경남,창원시의창구,35.30867008,128.6492618
경남,창원시성산구,35.19539238,128.6716432
경남,창원시마산합포구,35.1355122,128.4857822
경남,창원시마산회원구,35.23248078,128.5366495
경남,창원시진해구,35.12947082,128.7369188
경남,진주시,35.20513548,128.1298118
경남,통영시,34.82572017,128.3740903
경남,사천시,35.04899904,128.0374985
경남,김해시,35.27197339,128.8454168
경남,밀양시,35.49811321,128.7893258
경남,거제시,34.87057319,128.6235488
경남,양산시,35.40135275,129.0412751
경남,의령군,35.39233236,128.2773715
경남,함안군,35.29115888,128.431249
경남,창녕군,35.50841905,128.4928431
경남,고성군,35.01586319,128.2904999
경남,남해군,34.81820071,127.9415089
경남,하동군,35.13786027,127.7791597
경남,산청군,35.36854753,127.8843917
경남,함양군,35.55149807,127.7218739
경남,거창군,35.7324914,127.9041932
경남,합천군,35.57654693,128.1416484
제주,제주시,33.44307252,126.5304089
제주,서귀포시,33.3245722,126.5815185
기타,최북동,38.61111,131.87278
기타,최남서,33.11194,124.61
